Sector,Category,Industry URL
"Lumber and Wood Products, Except Furniture",Logging,https://www.buzzfile.com/Lists/Industry-Pulpwood-Camp-Not-Operating-A-Pulp-Mill-At-Same-Site
"Lumber and Wood Products, Except Furniture",Logging,https://www.buzzfile.com/Lists/Industry-Pulpwood-Contractors-Engaged-In-Cutting
"Lumber and Wood Products, Except Furniture",Logging,https://www.buzzfile.com/Lists/Industry-Saw-Logs
"Lumber and Wood Products, Except Furniture",Logging,https://www.buzzfile.com/Lists/Industry-Skidding-Logs
"Lumber and Wood Products, Except Furniture",Logging,https://www.buzzfile.com/Lists/Industry-Stumping-for-Turpentine-or-Powder-Manufacturing
"Home Furniture, Furnishings and Equipment Stores",Musical Instrument Stores,https://www.buzzfile.com/Lists/Industry-Wind-Instruments
"Home Furniture, Furnishings and Equipment Stores","Radio, Television, and Electronic Stores",https://www.buzzfile.com/Lists/Industry-Antennas
"Home Furniture, Furnishings and Equipment Stores","Radio, Television, and Electronic Stores",https://www.buzzfile.com/Lists/Industry-Antennas.-Satellite-Dish
"Home Furniture, Furnishings and Equipment Stores","Radio, Television, and Electronic Stores",https://www.buzzfile.com/Lists/Industry-Automotive-Sound-Equipment
"Home Furniture, Furnishings and Equipment Stores","Radio, Television, and Electronic Stores",https://www.buzzfile.com/Lists/Industry-Consumer-Electronic-Equipment.-nec
Food and Kindred Products,Candy and other Confectionery Products,https://www.buzzfile.com/Lists/Industry-Fruit-Peel-Candied.-Crystallized.-Glace-or-Glazed
Food and Kindred Products,Candy and other Confectionery Products,https://www.buzzfile.com/Lists/Industry-Fruit.-Chocolate-Covered-Except-Dates
Food and Kindred Products,Candy and other Confectionery Products,https://www.buzzfile.com/Lists/Industry-Fruits-Candied.-Crystallized.-or-Glazed
Food and Kindred Products,Candy and other Confectionery Products,https://www.buzzfile.com/Lists/Industry-Fudge-Candy
Food and Kindred Products,Candy and other Confectionery Products,https://www.buzzfile.com/Lists/Industry-Granola-and-Muesli.-Bars-and-Clusters
Fabricated Metal Products,Plating and Polishing,https://www.buzzfile.com/Lists/Industry-Decorative-Plating-and-Finishing-of-Formed-Products
Fabricated Metal Products,Plating and Polishing,https://www.buzzfile.com/Lists/Industry-Depolishing-Metal
Fabricated Metal Products,Plating and Polishing,https://www.buzzfile.com/Lists/Industry-Electrolizing-Steel
Fabricated Metal Products,Plating and Polishing,https://www.buzzfile.com/Lists/Industry-Electroplating-and-Plating
Fabricated Metal Products,Plating and Polishing,https://www.buzzfile.com/Lists/Industry-Electroplating-of-Metals-or-Formed-Products
Construction - General Contractors & Operative Builders,"Nonresidential Construction, nec",https://www.buzzfile.com/Lists/Industry-Restaurant-Construction
Construction - General Contractors & Operative Builders,"Nonresidential Construction, nec",https://www.buzzfile.com/Lists/Industry-School-Building-Construction
Construction - General Contractors & Operative Builders,"Nonresidential Construction, nec",https://www.buzzfile.com/Lists/Industry-Service-Station-Construction
Construction - General Contractors & Operative Builders,"Nonresidential Construction, nec",https://www.buzzfile.com/Lists/Industry-Shopping-Center-Construction
Construction - General Contractors & Operative Builders,"Nonresidential Construction, nec",https://www.buzzfile.com/Lists/Industry-Silo-Construction.-Agricultural
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Petroleum-Refinery-Inspection-Service
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Photogrammatic-Mapping
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Photographic-Library-Service
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Photography-Brokers
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Pilot-Car-Escort-Service
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Mailbox-Rental-and-Related-Service
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Mailing-and-Messenger-Services
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Mannequin-Decorating-Service
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Mapmaking-or-Drafting.-Including-Aerial
Business Services,"Business Services, nec",https://www.buzzfile.com/Lists/Industry-Mapmaking-Services
Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",https://www.buzzfile.com/Lists/Industry-Boxes.-Vulcanized-Fiber:-Made-From-Purchased-Material
Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",https://www.buzzfile.com/Lists/Industry-Cans.-Composite:-Foil.dash.fiber-and-Other:-From-Purchased-Fiber
Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",https://www.buzzfile.com/Lists/Industry-Cans.-Fiber:-Made-From-Purchased-Material
Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",https://www.buzzfile.com/Lists/Industry-Cases.-Mailing:-Made-From-Purchased-Material
Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",https://www.buzzfile.com/Lists/Industry-Cones.-Fiber:-Made-From-Purchased-Material
